"Sex" "Age" "Place" "DivPlace" "DIV" "DivAge" "Time" "BostonQualifier" "HomeStateOrCountry"
"200" "M" 56 9236 352 "M55-59" "55-59" 222.28 "Y" "JPN"
"201" "M" 26 6998 700 "M25-29" "25-29" 213.63 "Y" "NY"
"202" "M" 41 12802 1686 "M40-44" "40-44" 233.13 "Y" "CHN"
"203" "M" 49 16135 1830 "M45-49" "45-49" 240.8 "N" "FRA"
"204" "M" 39 980 221 "M35-39" "35-39" 175.03 "N" "IRL"
"205" "F" 31 117 6 "F30-34" "30-34" 154.72 "N" "CHN"
"206" "M" 36 857 191 "M35-39" "35-39" 173.43 "Y" "KEN"
"207" "M" 43 882 126 "M40-44" "40-44" 173.77 "N" "ESP"
"208" "M" 36 232 40 "M35-39" "35-39" 160.88 "Y" "NY"
"209" "M" 42 640 75 "M40-44" "40-44" 170.12 "N" "HKG"
"210" "M" 32 3291 506 "M30-34" "30-34" 194.87 "N" "NJ"
"211" "M" 46 13746 1585 "M45-49" "45-49" 235.55 "N" "FRA"
"212" "M" 55 7641 273 "M55-59" "55-59" 216.35 "N" "CA"
"213" "M" 45 11293 1334 "M45-49" "45-49" 228.87 "N" "NY"
"214" "F" 36 13715 546 "F35-39" "35-39" 235.47 "Y" "DEN"
"215" "M" 52 7689 642 "M50-54" "50-54" 216.52 "Y" "GER"
"216" "M" 40 234 28 "M40-44" "40-44" 160.93 "Y" "FRA"
"217" "M" 36 667 148 "M35-39" "35-39" 170.45 "N" "HUN"
"218" "M" 36 18763 2310 "M35-39" "35-39" 248.38 "N" "MI"
"219" "M" 49 4574 571 "M45-49" "45-49" 203.12 "N" "NC"
"220" "F" 29 16189 856 "F25-29" "25-29" 240.98 "N" "NJ"
"221" "M" 29 12867 1141 "M25-29" "25-29" 233.3 "Y" "NY"
"222" "F" 25 816 11 "F25-29" "25-29" 172.78 "N" "CT"
"223" "F" 36 6051 190 "F35-39" "35-39" 209.57 "Y" "CAN"
"224" "F" 28 797 9 "F25-29" "25-29" 172.57 "N" "MA"
"225" "M" 36 543 115 "M35-39" "35-39" 168.32 "N" "ESP"
"226" "M" 39 770 176 "M35-39" "35-39" 172.05 "N" "CA"
"227" "M" 40 737 98 "M40-44" "40-44" 171.53 "N" "BRA"
"228" "M" 41 488 54 "M40-44" "40-44" 167.52 "Y" "GBR"
"229" "M" 34 16183 1870 "M30-34" "30-34" 240.97 "N" "NY"
"230" "M" 53 19736 1664 "M50-54" "50-54" 251.13 "N" "NY"
"231" "M" 39 5808 946 "M35-39" "35-39" 208.73 "Y" "NJ"
"232" "M" 26 319 80 "M25-29" "25-29" 163.73 "Y" "CO"
"233" "M" 49 19721 2187 "M45-49" "45-49" 251.1 "N" "AUS"
"234" "M" 28 15424 1301 "M25-29" "25-29" 239.18 "Y" "CT"
"235" "M" 25 726 149 "M25-29" "25-29" 171.42 "Y" "NY"
"236" "M" 30 5841 804 "M30-34" "30-34" 208.85 "Y" "LA"
"237" "M" 37 978 220 "M35-39" "35-39" 175 "N" "OH"
"238" "M" 30 1574 308 "M30-34" "30-34" 180.15 "Y" "NY"
"239" "F" 54 9231 109 "F50-54" "50-54" 222.27 "Y" "GER"
"240" "M" 34 477 129 "M30-34" "30-34" 167.32 "N" "ECU"
"241" "F" 34 2711 81 "F30-34" "30-34" 190.95 "N" "NY"
"242" "M" 40 16153 2047 "M40-44" "40-44" 240.87 "N" "NY"
"243" "F" 44 2772 37 "F40-44" "40-44" 191.38 "Y" "HKG"
"244" "F" 33 130 7 "F30-34" "30-34" 156 "N" "MI"
"245" "M" 49 3266 399 "M45-49" "45-49" 194.7 "Y" "FL"
"246" "M" 39 18762 2309 "M35-39" "35-39" 248.38 "N" "NY"
"247" "M" 34 449 123 "M30-34" "30-34" 166.78 "N" "CAN"
"248" "F" 56 9300 31 "F55-59" "55-59" 222.5 "N" "GA"
"249" "M" 37 3278 643 "M35-39" "35-39" 194.78 "N" "WA"
"250" "M" 38 125 12 "M35-39" "35-39" 155.75 "N" "IRL"
"251" "M" 58 19723 833 "M55-59" "55-59" 251.1 "N" "FRA"
"252" "M" 47 4521 564 "M45-49" "45-49" 202.73 "N" "CAN"
"253" "F" 46 19799 737 "F45-49" "45-49" 251.28 "Y" "SUI"
"254" "M" 36 246 41 "M35-39" "35-39" 161.43 "N" "FRA"
"255" "M" 43 3239 516 "M40-44" "40-44" 194.57 "Y" "NY"
"256" "M" 38 1544 346 "M35-39" "35-39" 179.83 "Y" "FRA"
"257" "M" 71 9278 5 "M70-74" "70-74" 222.43 "N" "MI"
"258" "M" 36 663 146 "M35-39" "35-39" 170.38 "Y" "PA"
"259" "M" 36 742 167 "M35-39" "35-39" 171.62 "Y" "NY"
"260" "M" 29 277 74 "M25-29" "25-29" 162.8 "N" "WA"
"261" "F" 39 5876 184 "F35-39" "35-39" 208.97 "Y" "JPN"
"262" "F" 30 6940 252 "F30-34" "30-34" 213.42 "N" "WI"
"263" "M" 41 13762 1796 "M40-44" "40-44" 235.57 "N" "FRA"
"264" "M" 30 17 6 "M30-34" "30-34" 134.4 "Y" "ETH"
"265" "F" 48 9206 243 "F45-49" "45-49" 222.15 "N" "CA"
"266" "M" 52 9253 780 "M50-54" "50-54" 222.33 "Y" "VA"
"267" "M" 37 106 8 "M35-39" "35-39" 154.25 "N" "CA"
"268" "M" 49 19713 2186 "M45-49" "45-49" 251.08 "Y" "VA"
"269" "M" 25 386 96 "M25-29" "25-29" 165.07 "N" "CAN"
"270" "M" 42 947 140 "M40-44" "40-44" 174.67 "N" "CAN"
"271" "F" 41 17597 834 "F40-44" "40-44" 245.1 "Y" "INA"
"272" "M" 57 15484 638 "M55-59" "55-59" 239.32 "Y" "OH"
"273" "M" 33 8492 1103 "M30-34" "30-34" 219.38 "N" "GER"
"274" "M" 27 385 95 "M25-29" "25-29" 165.07 "N" "NY"
"275" "M" 33 325 83 "M30-34" "30-34" 163.88 "N" "AND"
"276" "M" 36 1595 357 "M35-39" "35-39" 180.32 "Y" "GBR"
"277" "M" 31 61 19 "M30-34" "30-34" 148 "Y" "ARG"
"278" "M" 35 669 149 "M35-39" "35-39" 170.47 "Y" "PHI"
"279" "M" 26 8495 816 "M25-29" "25-29" 219.4 "N" "NZL"
"280" "M" 51 10737 898 "M50-54" "50-54" 227.33 "N" "CO"
"281" "M" 27 922 176 "M25-29" "25-29" 174.27 "Y" "NY"
"282" "M" 26 251 65 "M25-29" "25-29" 161.67 "Y" "NJ"
"283" "M" 41 813 110 "M40-44" "40-44" 172.77 "N" "FRA"
"284" "M" 30 16127 1866 "M30-34" "30-34" 240.78 "N" "NY"
"285" "M" 45 8497 1020 "M45-49" "45-49" 219.42 "N" "NY"
"286" "M" 35 3249 635 "M35-39" "35-39" 194.6 "N" "ITA"
"287" "M" 30 3293 508 "M30-34" "30-34" 194.88 "N" "JPN"
"288" "M" 48 11240 1327 "M45-49" "45-49" 228.72 "N" "NJ"
"289" "M" 32 927 214 "M30-34" "30-34" 174.33 "N" "MEX"
"290" "M" 50 11300 947 "M50-54" "50-54" 228.88 "Y" "GBR"
"291" "F" 51 14712 294 "F50-54" "50-54" 237.72 "Y" "SC"
"292" "M" 28 245 64 "M25-29" "25-29" 161.42 "Y" "NY"
"293" "M" 36 10758 1498 "M35-39" "35-39" 227.37 "Y" "NJ"
